train_loss,valid_loss
0.359494,0.689378
0.356435,0.683529
0.352002,0.690720
0.345708,0.705891
0.339989,0.734776
0.333468,0.747478
0.327622,0.771128
0.322678,0.762394
0.318032,0.769231
0.314785,0.747243
0.311446,0.792420
0.308260,0.821115
0.305781,0.781406
0.303609,0.810022
0.302126,0.791032
0.301422,0.802348
0.299627,0.799780
0.299534,0.807618
0.298799,0.804890
0.298369,0.805748
