train_loss,valid_loss
0.880877,0.647330
0.532653,0.416794
0.363168,0.355097
0.293285,0.332993
0.261073,0.325546
0.242401,0.319047
0.230194,0.317079
0.222321,0.315156
0.217661,0.313933
0.215612,0.314035
