train_loss,valid_loss
0.988636,0.963656
0.969299,0.963067
0.968932,0.962157
0.827993,0.590353
0.655030,0.434935
0.527458,0.344471
0.468560,0.301173
0.421719,0.289745
0.404061,0.287665
0.399329,0.287063
